"Ano-Mes.Ano-Mes";SP/Valor
"MAR-2018";12.42
"JUL-2018";13.94
"NOV-2018";14.18
"MAR-2019";14.92
"MAR-2020";15.01
"MAR-2021";14.11
"NOV-2021";22.57
"MAR-2022";22.55
"NOV-2022";25.06
"MAR-2023";25.465
"NOV-2023";22.80666666666667
"OUT-2024";26.08
"MAR-2025";23.016666666666666
