"Ano-Mes.Ano-Mes";RS/Valor
"NOV-2021";55.64
"JAN-2022";56.9
"MAR-2022";59.08
"MAI-2022";56.665
"JUL-2022";57.885
"SET-2022";54.215
"NOV-2022";50.89
"JAN-2023";50.025
"MAR-2023";48.16
"MAI-2023";45.85
"JUL-2023";44.935
"SET-2023";46.1
"NOV-2023";46.21
"JAN-2024";45.34
"MAR-2024";45.3
"MAI-2024";45.025
"JUL-2024";47.485
"SET-2024";47.135
"NOV-2024";46.96
"MAR-2025";47.855
"JUL-2025";53.93
"NOV-2025";48.515
